Metamath - Version 0.177 27-Apr-2019          Type HELP for help, EXIT to exit.
MM> READ "set.mm"
Reading source file "set.mm"... 35125687 bytes
35125687 bytes were read into the source buffer.
The source has 158653 statements; 2313 are $a and 32727 are $p.
No errors were found.  However, proofs were not checked.  Type VERIFY PROOF *
if you want to check them.
label:impi,steps:3,subtheorems_dup:29,totalsteps_dup:101,subtheorems:14,totalsteps:68,extendedstep:359,maxpathlen:19
label:expi,steps:3,subtheorems_dup:21,totalsteps_dup:70,subtheorems:11,totalsteps:52,extendedstep:125,maxpathlen:12
label:simprim,steps:2,subtheorems_dup:31,totalsteps_dup:105,subtheorems:14,totalsteps:69,extendedstep:365,maxpathlen:20
label:simplim,steps:2,subtheorems_dup:27,totalsteps_dup:93,subtheorems:10,totalsteps:56,extendedstep:149,maxpathlen:19
label:pm2.5,steps:2,subtheorems_dup:29,totalsteps_dup:98,subtheorems:11,totalsteps:60,extendedstep:277,maxpathlen:20
label:pm2.51,steps:3,subtheorems_dup:23,totalsteps_dup:80,subtheorems:10,totalsteps:52,extendedstep:211,maxpathlen:16
label:pm2.521,steps:2,subtheorems_dup:28,totalsteps_dup:95,subtheorems:10,totalsteps:57,extendedstep:155,maxpathlen:20
label:pm2.52,steps:2,subtheorems_dup:30,totalsteps_dup:101,subtheorems:13,totalsteps:66,extendedstep:363,maxpathlen:21
label:expt,steps:3,subtheorems_dup:31,totalsteps_dup:104,subtheorems:13,totalsteps:66,extendedstep:193,maxpathlen:12
label:impt,steps:4,subtheorems_dup:39,totalsteps_dup:132,subtheorems:15,totalsteps:81,extendedstep:565,maxpathlen:21
label:pm2.61d,steps:5,subtheorems_dup:27,totalsteps_dup:96,subtheorems:11,totalsteps:61,extendedstep:177,maxpathlen:16
label:pm2.61d1,steps:4,subtheorems_dup:28,totalsteps_dup:100,subtheorems:11,totalsteps:62,extendedstep:179,maxpathlen:17
label:pm2.61d2,steps:4,subtheorems_dup:28,totalsteps_dup:100,subtheorems:11,totalsteps:62,extendedstep:179,maxpathlen:17
label:ja,steps:4,subtheorems_dup:30,totalsteps_dup:107,subtheorems:11,totalsteps:64,extendedstep:183,maxpathlen:18
label:jad,steps:6,subtheorems_dup:31,totalsteps_dup:113,subtheorems:12,totalsteps:69,extendedstep:237,maxpathlen:19
label:jarl,steps:2,subtheorems_dup:16,totalsteps_dup:55,subtheorems:7,totalsteps:35,extendedstep:57,maxpathlen:10
label:pm2.61i,steps:5,subtheorems_dup:31,totalsteps_dup:112,subtheorems:11,totalsteps:66,extendedstep:189,maxpathlen:19
